건물번호,실개수,실높이합계,실둘레합계,실면적합계,벽개수합계,벽높이합계,벽길이합계,벽면적합계,바닥둘레합계,바닥면적합계,기둥개수,기둥길이합계,계단개수,계단단수합계,창호개수,창호면적합계,연면적,대지면적,건축면적,조경면적,층고,건물높이,지하층개수,지상층개수,시공기간,주차대수,총공사비,건축공사비,기계설비공사비,기타공사비,조경공사비,전기설비공사비,토목공사비,소방공사비,면적당총공사비,면적당건축공사비,면적당기계공사비,면적당기타공사비,면적당조경공사비,면적당전기공사비,면적당토목공사비,면적당소방공사비
166,58,141.43,1373.89,2875.55,151,714.75,951.27,4066.2,690.2,3405.66,0,0,9,180,134,351.49,2445.98,2288.9,583.77,600,3.9,18.4,1,3,306,42,5818172249,3542625701,453296212,568621161,120415018,642119009,276914548,214180600,2378667.139,1448346.144,185322.943,232471.7132,49229.76394,262520.1388,113212.1064,87564.33004
167,86,204.83,1933.22,3251.89,177,735.95,1107.88,3608.52,851.4,3806.91,74,222.3,9,229,131,820.49,895.67,2007,320.13,100.35,3.8,14.8,0,3,0,23,1533663000,1279504000,0,0,0,170680000,70972000,12507000,1712308.105,1428543.995,0,0,0,190561.2558,79239.00544,13963.84829
168,36,88,686,851,89,303,593,1656,358,1355,33,125,3,52,38,74,2455.72,4856.4,961.53,1084.83,0,15.1,1,3,420,53,5193268336,3101480028,464184734,197499977,213310760,746136064,282573496,188083277,2114764.035,1262961.587,189021.8486,80424.46899,86862.81824,303835.9683,115067.4735,76589.87059
254,69,168.25,2182.42,5591.96,154,653,1496.79,5616.21,1055.19,8591.95,0,0,5,130,184,980.23,4346.86,9900,2575.84,2117.7,4.2,15.4,0,3,365,36,8040729903,4894532647,448691285,377700983,372929944,1401947046,308960284,235967714,1849778.899,1125992.704,103221.9315,86890.53317,85792.95031,322519.4844,71076.65855,54284.63627
255,70,170.69,2223.26,5010.75,159,747.3,1471.99,6259.46,1010.19,6047.67,0,0,6,124,234,491.79,3799.96,6610.08,1482.53,1017.53,4.5,17.4,1,3,518,74,8250023690,4180591996,1192643497,367937771,192163283,1623379615,518353124,174954404,2171081.719,1100167.369,313856.8556,96826.74844,50569.81731,427209.6588,136410.1527,46041.11727
256,314,765.66,5403.89,6746.02,484,2000.9,3383.49,12767.72,1741.74,9666.58,0,0,14,346,455,1745.23,6105.76,16361.46,2231.84,5872.88,0,14.95,1,3,540,75,14067368480,7550491857,2158307938,754589627,500986679,2043758558,759622516,299611305,2303950.447,1236617.859,353487.1888,123586.5195,82051.48565,334726.3171,124410.8049,49070.27217
272,93,226.77,2020.13,3762.42,304,1162.2,1956.81,6554.64,1175.15,5287.11,0,0,2,44,177,729.98,2995.28,5159.53,1550.06,816.41,3.9,9.6,1,2,290,23,7251308753,4343655096,859631478,379426524,103560742,842958044,189857031,532219838,2420911.819,1450166.627,286995.3654,126674.8097,34574.64477,281428.796,63385.40337,177686.1722
275,61,148.74,1059.02,1104.71,199,634.8,804.02,2280.9,575.26,1526.47,0,0,6,114,106,289.34,981.79,482,240.13,72.8,3.2,0,1,5,365,5,2672321000,2245697000,0,0,0,177635000,69410000,179579000,2721886.554,2287349.637,0,0,0,180929.7304,70697.39965,182909.7872
290,46,112.17,709.61,774.09,80,306.9,507.03,1634.84,344.83,1081.44,0,0,4,89,81,298.93,792,1083.8,202.4,1157.62,4.8,28.5,1,3,300,51,1455849000,1239165000,0,0,0,140043000,57852000,18789000,1838193.182,1564602.273,0,0,0,176821.9697,73045.45455,23723.48485
291,164,321.87,2758.45,4437,243,995.3,1921.65,5868.71,1128.03,6736.05,158,529.2,7,179,396,1889.19,5189.82,7029.4,1481.39,1955.46,3.9,19.8,1,4,480,104,11354172726,6472882362,1192514174,377265803,256637647,1815882498,857173120,381817122,2187777.751,1247226.756,229779.4864,72693.42733,49450.20193,349893.1558,165164.3255,73570.39782
292,128,312.12,2935.75,5051.58,325,1350,1963.14,7232.32,1043.63,6867.47,0,0,8,213,256,797.91,4507.39,1703.5,994.5,263.81,0,18.75,1,4,450,30,9067874604,5016047241,671671447,1293864198,0,1028846830,599530335,457914553,2011779.456,1112849.618,149015.6048,287053.9709,0,228257.7789,133010.5305,101591.953
293,37,90.22,656.75,733.78,99,386.1,491.23,1616.25,332.59,1214.45,0,0,3,62,76,274.31,759.15,1537,283.41,105,3.9,12.9,0,3,300,14,1444543000,1242661000,0,0,0,131077000,50725000,20080000,1902842.653,1636911.019,0,0,0,172662.8466,66818.15188,26450.63558
295,52,126.8,1065.8,1377.7,109,411.3,710.02,2175.75,440.8,2229.78,0,0,4,82,122,453.04,1371,4958,708.96,802.59,3.9,0,1,2,420,14,2036045000,1647718000,0,0,0,166759000,175165000,46403000,1485080.233,1201836.616,0,0,0,121633.1145,127764.4055,33846.09774
296,180,431.6,3458.99,4811.21,299,1202.9,2039.41,6611.02,1449.24,5650.9,118,436.3,13,274,224,1443.38,4210.91,860.7,514.3,142.7,3.9,36.85,2,8,730,37,9528325116,5825772438,299780753,1338717646,0,1084514482,590891275,388648522,2262771.02,1383494.883,71191.44152,317916.4708,0,257548.7203,140323.8908,92295.61354
